customer_id,preferred_make,preferred_model,min_year,max_year,max_budget_jpy,preferred_specs,preferred_condition
1,Nissan,"Skyline GT-R",1995,2002,8000000,Manual,A
2,Toyota,Supra,1993,2000,7000000,Twin-Turbo,B
3,Subaru,"Impreza WRX STI",2000,,4000000,AWD,Any
5,Honda,NSX,1990,2005,9000000,LHD,A
6,Mitsubishi,"Lancer Evo",1998,2006,4500000,Manual,B
8,Nissan,Silvia,1995,2002,3000000,Turbo,Any
11,Toyota,Chaser,1996,2001,4000000,1JZ,B
15,Subaru,Impreza,1998,1998,16000000,22B,S
18,Mazda,RX-7,1992,2002,6000000,Twin-Turbo,A
20,Toyota,Any,1990,2000,2000000,Manual,C
